"ROI.name"	"Stage"	"Ontogeny"	"Cell"	"ROI.id"	"point"	"x"	"y"
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	1	1654.73191056639	-808.348962746806
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	2	1650.16783235766	-800.235045931279
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	3	1652.70343136251	-784.514332101197
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	4	1657.77462937221	-768.286498470145
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	5	1663.86006698386	-742.930508421625
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	6	1680.08790061491	-745.973227227447
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	7	1687.56235249218	-749.662729608271
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	8	1696.53620786213	-754.300299022392
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	9	1707.97948966828	-755.608503445885
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	10	1721.67172429448	-757.636982649766
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	11	1726.23580250322	-759.665461853648
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	12	1716.60052628478	-778.428894489552
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	13	1711.52932827507	-792.628248916723
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	14	1702.90829165858	-809.363202348746
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	15	1696.82285404693	-817.477119164273
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	16	1688.70893723141	-819.505598368154
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	17	1678.566541212	-819.505598368154
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	2	18	1666.39566598871	-811.898801353598
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	1	1664.15120876253	-741.938563045714
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	2	1664.27677013329	-730.491672891015
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	3	1667.28703801609	-721.661553768156
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	4	1671.70209757751	-716.845125155688
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	5	1672.90620473063	-704.402684573478
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	6	1675.31441903687	-694.769827348542
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	7	1679.32810954726	-684.936285598086
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	8	1681.73632385349	-677.109589102825
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	9	1682.94043100661	-671.691106913798
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	10	1685.34864531284	-670.687684286201
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	11	1692.97465728258	-673.095898592435
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	12	1696.98834779297	-675.10274384763
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	13	1702.20614545648	-677.310273628345
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	14	1709.83215742622	-678.715065306981
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	15	1718.06022297252	-679.919172460098
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	16	1724.28144326363	-680.521226036657
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	17	1727.69308019746	-679.919172460098
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	18	1733.312246912	-677.310273628345
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	19	1741.24724871115	-677.222779464545
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	20	1740.13552077967	-681.323964138735
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	21	1737.92799099895	-691.759559465749
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	22	1735.51977669272	-718.651285885364
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	23	1733.71361596304	-729.488250263417
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	24	1731.30540165681	-738.318369386276
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	25	1729.69992545265	-744.940958728419
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	26	1727.0910266209	-750.158756391927
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	27	1726.48897304434	-755.376554055434
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	28	1726.47018233436	-758.977361422866
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	29	1721.95928386644	-756.816274681717
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	30	1708.22394636991	-754.57292386342
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	31	1696.76884906776	-753.138838944682
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	3	32	1680.12845235767	-745.140416216632
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	1	1684.87670261017	-669.612300824424
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	2	1685.87786727624	-664.439616716385
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	3	1687.62990544187	-652.008488779326
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	4	1687.96362699723	-635.4058414003
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	5	1688.49025233914	-623.925558740482
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	6	1688.26915894483	-616.40838333397
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	7	1689.15353252207	-609.554488110386
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	8	1694.6808673798	-608.670114533149
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	9	1701.976949392	-610.217768293314
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	10	1712.81052571315	-611.765422053478
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	11	1722.53863506276	-613.97635599657
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	12	1727.40268973756	-615.524009756734
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	13	1740.88938679042	-615.745103151043
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	14	1752.38624329449	-614.639636179497
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	15	1754.15499044897	-619.724784248608
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	16	1752.82843008311	-626.357586077883
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	17	1751.50186971726	-640.065376525052
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	18	1748.62765559124	-650.456766057583
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	19	1747.52218861969	-659.521595224259
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	20	1744.64797449367	-669.470797968172
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	21	1743.98469431075	-672.345012094191
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	22	1741.3088479518	-676.504874503232
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	23	1733.43437320978	-676.154897848031
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	24	1729.14715918357	-677.904781124035
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	25	1724.59746266596	-679.392181908639
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	26	1702.81141587971	-676.242392011831
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	4	27	1693.36204618929	-672.305154640822
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	1	1689.16847847775	-609.10806794773
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	2	1692.60760150201	-597.459839742109
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	3	1693.32862710435	-590.970609321016
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	4	1693.68913990552	-579.88484068498
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	5	1695.67196031197	-568.618815648359
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	6	1696.21272951373	-557.262662411444
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	7	1698.82644732222	-556.5416368091
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	8	1707.56888275064	-559.966508420233
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	9	1713.87785677115	-559.065226417304
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	10	1722.62029219957	-558.794841816425
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	11	1732.35413783121	-558.524457215546
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	12	1738.12234264996	-559.24548281789
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	13	1747.67593188101	-560.327021221405
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	14	1753.71452130064	-559.605995619061
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	15	1757.96811949716	-556.478504416076
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	16	1760.09349963629	-557.286672739896
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	17	1758.94946746234	-563.578849696672
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	18	1758.80646344059	-569.442014588213
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	19	1757.37642322314	-582.455380566999
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	20	1756.66140311442	-588.60455350203
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	21	1755.51737094046	-598.042818937194
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	22	1754.08733072301	-608.053100459337
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	23	1753.9509419444	-611.506154321852
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	24	1752.48769032431	-614.16661181292
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	25	1741.13640502909	-615.186453851162
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	26	1727.47938990828	-614.96474906024
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	27	1722.78498061989	-613.374206844768
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	28	1713.16299269387	-611.216884342653
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	29	1702.30881499501	-609.664950806196
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	5	30	1694.83451529521	-608.069805181902
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	1	1696.02539431604	-556.19223324829
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	2	1697.26011068083	-545.459698692782
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	3	1697.45006704465	-533.112535044852
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	4	1698.68478340944	-525.324324128465
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	5	1699.41618255958	-512.10813946613
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	6	1699.08999903126	-500.691715974847
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	7	1699.08999903126	-491.884760710143
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	8	1707.24458723931	-493.189494823432
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	9	1712.13734016415	-494.494228936722
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	10	1720.29192837221	-495.472779521689
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	11	1730.4036177502	-495.472779521689
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	12	1745.08187652471	-494.168045408399
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	13	1751.93173061948	-491.884760710143
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	14	1766.28380586566	-490.253843068531
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	15	1766.28380586566	-496.451330106656
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	16	1765.63143880902	-510.80340535284
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	17	1765.3052552807	-518.631810032577
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	18	1765.3052552807	-529.069682938893
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	19	1765.3052552807	-536.245720561986
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	20	1763.67433763909	-545.378859355012
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	21	1761.69639890861	-554.579158650142
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	22	1760.22406368559	-556.724923943126
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	23	1757.859258509	-555.666984785175
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	24	1753.44080673167	-558.591875398335
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	25	1747.40433035983	-559.587582841112
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	26	1732.46871871816	-557.222777664515
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	27	1713.58193365036	-558.001812083839
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	28	1707.50698596837	-559.073861674779
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	6	29	1699.53315572748	-555.290026521021
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	1	1699.15214833985	-491.166016742834
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	2	1698.61080615036	-485.143818278252
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	3	1696.58599889544	-476.234666356614
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	4	1697.09220070917	-467.932956611452
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	5	1698.00336397388	-463.883342101617
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	6	1707.51995807199	-462.061015572191
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	7	1715.51794672892	-463.275899925142
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	8	1726.14818481724	-463.377140287888
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	9	1735.76601927809	-463.377140287888
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	10	1741.08569280852	-462.458187435966
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	11	1747.88238386698	-462.458187435966
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	12	1757.51102953313	-462.741382896735
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	13	1764.87411151313	-462.741382896735
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	14	1768.8388479639	-463.024578357505
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	15	1765.57014880292	-469.627241860047
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	16	1765.41996420366	-475.334256631612
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	17	1765.87051800142	-483.594409590455
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	18	1766.32107179917	-489.001055163516
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	19	1752.05489726913	-490.381034752525
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	20	1744.16993341653	-493.16864823577
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	21	1730.48864221913	-494.761257955362
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	22	1720.63865821722	-494.876267624577
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	23	1712.94866240418	-494.044755330504
"lateglobular.suspensor.suspensor"	"lateglobular"	"suspensor"	"suspensor"	7	24	1707.29905977954	-492.515668115513
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	1	1697.62664550626	-462.805816443434
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	2	1696.66666662959	-457.621930509406
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	3	1694.45871521324	-452.726038238381
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	4	1689.46682505455	-445.718192438677
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	5	1683.70695179452	-441.014295942986
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	6	1680.92301305217	-438.326355088305
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	7	1688.12285462721	-429.110557872256
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	8	1710.71349722479	-426.435123218099
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	9	1730.3983061197	-427.885582820881
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	10	1744.48848511816	-427.263957276832
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	11	1752.36240867612	-428.299999850248
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	12	1774.32651123255	-425.399080644683
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	13	1778.6703074583	-426.839412943665
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	14	1780.53604554305	-431.814714502989
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	15	1782.4017836278	-437.619232988867
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	16	1784.26752171254	-441.765317621637
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	17	1778.87761168994	-447.362531875876
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	18	1773.585431387	-451.483768462392
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	19	1769.58073698822	-457.13209263893
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	20	1769.16192609253	-462.170522299159
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	21	1765.2854521993	-461.866016337248
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	22	1740.96502479419	-461.588385887418
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	23	1735.57899406749	-462.587855506806
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	24	1715.5857930967	-462.198094073588
"lateglobular.suspensor.hypophysis"	"lateglobular"	"suspensor"	"hypophysis"	8	25	1707.91922715726	-460.760612959944
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	1	1688.64442719132	-428.051118894945
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	2	1690.25796857989	-417.811168084109
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	3	1696.27483447972	-414.441723180205
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	4	1705.54080796546	-412.877338046249
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	5	1711.91868581928	-412.034976820273
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	6	1716.85251585714	-408.785869234365
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	7	1729.36759692878	-408.785869234365
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	8	1743.44706313438	-409.146881188355
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	9	1752.47236198412	-410.350254368321
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	10	1762.94170864982	-412.516326092259
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	11	1771.12464627359	-415.64509636017
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	12	1776.17881362945	-418.773866628081
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	13	1778.82490923865	-420.277530858571
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	14	1778.72095733886	-425.78698154754
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	15	1774.45892944739	-423.811895451495
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	16	1752.10927099214	-427.242308144627
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	17	1745.56030130525	-425.683029647749
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	18	1730.27937203584	-426.826500545459
"lateglobular.ep.organizercell"	"lateglobular"	"ep"	"organizercell"	9	19	1710.52851107539	-425.163270148789
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	1	1732.26629005694	-407.384422840174
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	2	1732.96590139078	-398.393070888918
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	3	1733.42118034339	-383.918240642212
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	4	1733.60496121493	-377.485910138394
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	5	1732.86983772878	-356.167329040023
"lateglobular.ep.vascularprecursor"	"lateglobular"	"ep"	"vascularprecursor"	10	6	1732.68605685724	-353.043054223882
